destination,aspecto,negativo,neutro,positivo,total_tuplas,pct_negativo,pct_neutro,pct_positivo,score_promedio,confianza_promedio,reseñas_unicas,score_normalizado_0_1
Monasterio de Santa Catalina,clima,3.0,32.0,1.0,36.0,0.08333333333333333,0.8888888888888888,0.027777777777777776,-0.05555555555555555,0.9409942014349831,36,0.4722222222222222
Monasterio de Santa Catalina,costos,51.0,257.0,39.0,347.0,0.14697406340057637,0.7406340057636888,0.11239193083573487,-0.0345821325648415,0.9024186734679109,347,0.4827089337175792
Monasterio de Santa Catalina,gastronomia,0.0,13.0,2.0,15.0,0.0,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.9343872189521789,15,0.5666666666666667
Monasterio de Santa Catalina,limpieza,3.0,0.0,28.0,31.0,0.0967741935483871,0.0,0.9032258064516129,0.8064516129032258,0.9832683263286468,31,0.9032258064516129
Monasterio de Santa Catalina,seguridad,1.0,0.0,3.0,4.0,0.25,0.0,0.75,0.5,0.963962122797966,4,0.75
Museo Tumbas Reales del Señor de Sipán,accesibilidad,6.0,99.0,0.0,105.0,0.05714285714285714,0.9428571428571428,0.0,-0.05714285714285714,0.9595852840514411,105,0.4714285714285714
Museo Tumbas Reales del Señor de Sipán,aforo_multitudes,8.0,52.0,0.0,60.0,0.13333333333333333,0.8666666666666667,0.0,-0.13333333333333333,0.9668388853470484,60,0.43333333333333335
Museo Tumbas Reales del Señor de Sipán,alojamiento,1.0,2.0,1.0,4.0,0.25,0.5,0.25,0.0,0.9623133391141891,4,0.5
Museo Tumbas Reales del Señor de Sipán,atencion_servicio,5.0,157.0,147.0,309.0,0.016181229773462782,0.5080906148867314,0.47572815533980584,0.459546925566343,0.8870699781815983,309,0.7297734627831716
Museo Tumbas Reales del Señor de Sipán,atractivos,16.0,3.0,717.0,736.0,0.021739130434782608,0.004076086956521739,0.9741847826086957,0.9524456521739131,0.9859341847831788,736,0.9762228260869565
Museo Tumbas Reales del Señor de Sipán,clima,4.0,23.0,0.0,27.0,0.14814814814814814,0.8518518518518519,0.0,-0.14814814814814814,0.9135254930566858,27,0.42592592592592593
Museo Tumbas Reales del Señor de Sipán,costos,14.0,111.0,6.0,131.0,0.10687022900763359,0.8473282442748091,0.04580152671755725,-0.061068702290076333,0.9302138240282772,131,0.46946564885496184
Museo Tumbas Reales del Señor de Sipán,gastronomia,0.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0,0.9312683560631492,11,0.5
Museo Tumbas Reales del Señor de Sipán,limpieza,2.0,2.0,41.0,45.0,0.044444444444444446,0.044444444444444446,0.9111111111111111,0.8666666666666667,0.9547755810949538,45,0.9333333333333333
Museo Tumbas Reales del Señor de Sipán,seguridad,7.0,1.0,19.0,27.0,0.25925925925925924,0.037037037037037035,0.7037037037037037,0.4444444444444444,0.9518504562201323,27,0.7222222222222222
Museo de Sitio Huaca Pucllana,accesibilidad,3.0,196.0,0.0,199.0,0.01507537688442211,0.9849246231155779,0.0,-0.01507537688442211,0.9812600588678715,199,0.49246231155778897
Museo de Sitio Huaca Pucllana,aforo_multitudes,12.0,81.0,0.0,93.0,0.12903225806451613,0.8709677419354839,0.0,-0.12903225806451613,0.9401830511708413,93,0.43548387096774194
Museo de Sitio Huaca Pucllana,alojamiento,0.0,14.0,3.0,17.0,0.0,0.8235294117647058,0.17647058823529413,0.17647058823529413,0.8864979182972628,17,0.5882352941176471
Museo de Sitio Huaca Pucllana,atencion_servicio,14.0,333.0,321.0,668.0,0.020958083832335328,0.49850299401197606,0.4805389221556886,0.4595808383233533,0.8748270450327211,668,0.7297904191616766
Museo de Sitio Huaca Pucllana,atractivos,13.0,0.0,750.0,763.0,0.01703800786369594,0.0,0.9829619921363041,0.9659239842726082,0.9931449751866442,763,0.9829619921363041
Museo de Sitio Huaca Pucllana,clima,39.0,53.0,0.0,92.0,0.42391304347826086,0.5760869565217391,0.0,-0.42391304347826086,0.8779723968194879,92,0.28804347826086957
Museo de Sitio Huaca Pucllana,costos,24.0,228.0,45.0,297.0,0.08080808080808081,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.8932149906953176,297,0.5353535353535354
Museo de Sitio Huaca Pucllana,gastronomia,1.0,248.0,30.0,279.0,0.0035842293906810036,0.8888888888888888,0.10752688172043011,0.1039426523297491,0.9332086883992704,279,0.5519713261648745
Museo de Sitio Huaca Pucllana,limpieza,4.0,1.0,23.0,28.0,0.14285714285714285,0.03571428571428571,0.8214285714285714,0.6785714285714286,0.8707327949149268,28,0.8392857142857143
Museo de Sitio Huaca Pucllana,seguridad,4.0,0.0,14.0,18.0,0.2222222222222222,0.0,0.7777777777777778,0.5555555555555556,0.885000209013621,18,0.7777777777777778
Reserva Nacional de Paracas,accesibilidad,1.0,92.0,0.0,93.0,0.010752688172043012,0.989247311827957,0.0,-0.010752688172043012,0.9805889655185002,93,0.4946236559139785
Reserva Nacional de Paracas,aforo_multitudes,40.0,67.0,0.0,107.0,0.37383177570093457,0.6261682242990654,0.0,-0.37383177570093457,0.9504048601489201,107,0.3130841121495327
Reserva Nacional de Paracas,alojamiento,0.0,7.0,3.0,10.0,0.0,0.7,0.3,0.3,0.8329089403152465,10,0.65
Reserva Nacional de Paracas,atencion_servicio,1.0,30.0,21.0,52.0,0.019230769230769232,0.5769230769230769,0.40384615384615385,0.38461538461538464,0.8825106036204559,52,0.6923076923076923
Reserva Nacional de Paracas,atractivos,5.0,0.0,406.0,411.0,0.012165450121654502,0.0,0.9878345498783455,0.975669099756691,0.9953798496520142,411,0.9878345498783455
Reserva Nacional de Paracas,clima,25.0,86.0,0.0,111.0,0.22522522522522523,0.7747747747747747,0.0,-0.22522522522522523,0.9033715456455678,111,0.38738738738738737
Reserva Nacional de Paracas,costos,24.0,58.0,0.0,82.0,0.2926829268292683,0.7073170731707317,0.0,-0.2926829268292683,0.9285903674800221,82,0.35365853658536583
Reserva Nacional de Paracas,gastronomia,2.0,65.0,0.0,67.0,0.029850746268656716,0.9701492537313433,0.0,-0.029850746268656716,0.9592911360868767,67,0.48507462686567165
Reserva Nacional de Paracas,limpieza,21.0,0.0,142.0,163.0,0.12883435582822086,0.0,0.8711656441717791,0.7423312883435583,0.9711787221621881,163,0.8711656441717792
Reserva Nacional de Paracas,seguridad,8.0,3.0,18.0,29.0,0.27586206896551724,0.10344827586206896,0.6206896551724138,0.3448275862068966,0.9224537097174546,29,0.6724137931034483
Santuario Histórico de Machu Picchu,accesibilidad,39.0,1068.0,0.0,1107.0,0.03523035230352303,0.964769647696477,0.0,-0.03523035230352303,0.9598226944067075,1107,0.4823848238482385
Santuario Histórico de Machu Picchu,aforo_multitudes,202.0,474.0,0.0,676.0,0.2988165680473373,0.7011834319526628,0.0,-0.2988165680473373,0.9204389391213479,676,0.3505917159763313
Santuario Histórico de Machu Picchu,alojamiento,0.0,119.0,13.0,132.0,0.0,0.9015151515151515,0.09848484848484848,0.09848484848484848,0.9204371725067948,132,0.5492424242424242
Santuario Histórico de Machu Picchu,atencion_servicio,8.0,501.0,335.0,844.0,0.009478672985781991,0.5936018957345972,0.39691943127962087,0.38744075829383884,0.861758178868,844,0.6937203791469194
Santuario Histórico de Machu Picchu,atractivos,29.0,0.0,2090.0,2119.0,0.01368570080226522,0.0,0.9863142991977348,0.9726285983954696,0.9928694299899953,2119,0.9863142991977347
Santuario Histórico de Machu Picchu,clima,281.0,291.0,1.0,573.0,0.49040139616055844,0.5078534031413613,0.0017452006980802793,-0.4886561954624782,0.8923527376814039,573,0.2556719022687609
Santuario Histórico de Machu Picchu,costos,207.0,402.0,65.0,674.0,0.30712166172106825,0.5964391691394659,0.09643916913946587,-0.21068249258160238,0.8645157634946642,674,0.3946587537091988
Santuario Histórico de Machu Picchu,gastronomia,0.0,123.0,2.0,125.0,0.0,0.984,0.016,0.016,0.9577096791267395,125,0.508
Santuario Histórico de Machu Picchu,limpieza,44.0,10.0,87.0,141.0,0.3120567375886525,0.07092198581560284,0.6170212765957447,0.3049645390070922,0.8697955813390988,141,0.6524822695035462
Santuario Histórico de Machu Picchu,seguridad,41.0,9.0,33.0,83.0,0.4939759036144578,0.10843373493975904,0.39759036144578314,-0.0963855421686747,0.8321232508464032,83,0.45180722891566266
